"Name","Car_Truck_or_Van_Drove_Alone","Car_Truck_or_Van_Carpooled","Public_Transportation","Bicycle","Walked","Taxicab_Motorcycle_or_other_means","Worked_From_Home","Depart_12am_to_4_59am","Depart_5am_to_5_29am","Depart_5_30am_to_6am","Depart_6am_to_6_29am","Depart_6_30am_to_6_59am","Depart_7am_to_7_29am","Depart_7_30am_to_7_59am","Depart_8am_to_8_29am","Depart_8_30am_to_8_59am","Depart_9am_to_9_59am","Depart_10am_to_10_59am","Depart_11am_to_11_59am","Depart_12pm_to_3_59pm","Depart_4pm_to_11_59pm","No_Vehicles_Availible","Vehicle_Availible_1","Vehicles_Availible_2","Vehicles_Availible_3","Vehicles_Availible_4","Vehicles_Availible_5_or_More","Aggregate_Num_of_Vehicles_Used_in_Commuting","Travel_Time_to_Work_LT_5_Min","Travel_Time_to_Work_5_T_9_Min","Travel_Time_to_Work_10_T_14_Min","Travel_Time_to_Work_15_T_19_Min","Travel_Time_to_Work_20_T_24_Min","Travel_Time_to_Work_25_T_29_Min","Travel_Time_to_Work_30_T_34_Min","Travel_Time_to_Work_35_T_39_Min","Travel_Time_to_Work_40_T_44_Min","Travel_Time_to_Work_45_T_59_Min","Travel_Time_to_Work_60_T_89_Min","Travel_Time_to_Work_GE_90_Min","STATEFP","COUNTYFP","STATE_FIPS","Year"
"Knox County, Tennessee","173575","16446","1647","486","3366","1743","7670","4875","4013","6998","13049","18274","33743","33772","22408","12249","11994","6304","2194","12837","14553","4027","45323","90372","39896","15300","6721","181010","4450","17014","32633","42875","39752","15290","25963","3947","3521","6766","3154","1898","47","093","47093","2010"
"Lake County, Tennessee","1568","209","0","0","5","20","19","89","32","164","301","172","164","367","120","49","61","61","28","83","111","59","520","735","295","128","84","1660","137","319","311","163","267","66","196","41","115","105","66","16","47","095","47095","2010"
"Lauderdale County, Tennessee","8414","773","26","0","36","63","170","375","528","466","1087","1639","922","1201","433","233","250","206","96","1054","822","198","1943","4139","1804","1246","152","8770","375","1434","1585","1666","1362","273","1226","256","120","338","501","176","47","097","47097","2010"
"Lawrence County, Tennessee","13676","1770","50","0","109","144","431","1199","864","1194","2038","2208","2025","1946","913","391","522","341","263","1018","827","363","1891","6158","5055","1880","833","14475","732","2505","2586","2190","1665","839","1692","564","333","943","858","842","47","099","47099","2010"
"Lewis County, Tennessee","3590","453","0","0","63","0","183","345","197","303","549","607","625","570","246","45","135","60","27","168","229","26","515","1804","1228","473","243","3795","457","751","767","194","223","34","390","143","129","441","426","151","47","101","47101","2010"
"Lincoln County, Tennessee","12173","1402","30","0","125","140","365","873","1019","1177","1591","1914","2415","1473","795","388","444","90","0","839","852","146","1928","6113","3941","1531","576","12800","701","1668","1712","2260","1519","531","1377","394","626","2068","690","324","47","103","47103","2010"
"Loudon County, Tennessee","16176","2495","46","8","264","133","526","639","839","1214","1973","2285","3102","2918","1661","645","1016","248","111","1300","1171","167","3115","7994","4961","2444","967","17325","780","2506","2428","2681","3090","1188","3093","735","525","1244","602","250","47","105","47105","2010"
"McMinn County, Tennessee","17637","2005","49","35","505","57","760","1027","732","1337","2084","2168","2442","2850","1853","1077","629","390","273","1482","1944","267","3436","8498","5599","2139","915","18530","1410","2677","3477","3287","2813","1084","2059","394","606","1264","840","377","47","107","47107","2010"
"McNairy County, Tennessee","7822","1179","89","0","107","75","138","548","561","820","854","1311","1235","1459","451","327","344","117","39","453","753","73","1480","4250","2356","781","470","8365","445","1223","1717","1447","1465","489","1056","138","191","427","499","175","47","109","47109","2010"
"Macon County, Tennessee","6795","1193","30","0","116","116","247","735","517","567","1065","1226","1525","854","454","93","112","23","38","634","407","334","1111","2893","2272","1406","481","7345","382","867","1369","726","892","265","1032","171","286","879","1020","361","47","111","47111","2010"
"Madison County, Tennessee","37239","3297","365","27","555","323","1082","1688","951","1502","3528","5390","6003","6863","3695","1653","2315","1108","413","3430","3267","1272","8421","18010","10021","3561","1179","38745","975","5031","9073","9462","7381","1912","4378","508","447","1186","749","704","47","113","47113","2010"
"Marion County, Tennessee","9340","1358","18","0","122","72","389","1450","991","810","1036","1252","1333","1076","562","328","301","166","36","758","811","162","1729","4483","2654","1500","771","9945","517","1374","1220","1176","1276","614","1283","592","730","1281","620","227","47","115","47115","2010"
"Marshall County, Tennessee","11138","1095","43","0","120","165","358","730","679","767","1768","1741","1968","1125","742","263","418","106","49","1125","1080","144","1942","5130","3702","1583","418","11625","520","1527","1911","1676","1019","540","1300","434","620","1387","1313","314","47","117","47117","2010"
"Maury County, Tennessee","29730","4541","9","19","317","286","1160","1515","1432","2116","4721","4069","5247","4192","2755","1081","1491","688","385","2671","2539","588","6347","15603","8583","3265","1676","31785","734","3524","5033","5644","3860","1958","4114","1179","1570","4376","2344","566","47","119","47119","2010"
"Meigs County, Tennessee","3110","613","16","0","214","102","56","252","391","171","333","441","475","524","407","94","164","81","12","292","418","67","625","1484","1193","560","182","3385","321","389","465","448","398","191","654","137","113","356","444","139","47","121","47121","2010"
"Monroe County, Tennessee","14394","1762","0","0","300","106","407","716","1069","1649","2245","1649","2359","1885","1019","566","518","334","197","867","1489","220","2485","7202","4250","1808","995","15200","905","1649","1996","2099","2218","1360","2338","534","622","1753","738","350","47","123","47123","2010"
"Montgomery County, Tennessee","62712","7164","366","54","1232","826","1694","4759","4962","6723","7979","8911","8687","6916","4941","2179","3305","1539","872","5633","4948","1217","13456","34722","15925","5150","2248","65890","1571","5940","10680","14243","12680","4880","8913","1684","1678","5095","3864","1126","47","125","47125","2010"
"Moore County, Tennessee","2525","187","0","21","17","11","72","171","127","142","306","320","568","289","234","99","60","116","12","168","149","0","471","973","953","308","128","2610","94","166","220","516","524","245","427","133","95","195","39","107","47","127","47127","2010"
"Morgan County, Tennessee","6403","942","16","11","168","114","230","422","644","812","868","914","1055","985","535","236","200","126","26","417","414","54","968","3273","2291","793","505","6820","346","462","658","901","807","502","1065","239","446","1279","677","272","47","129","47129","2010"
"Obion County, Tennessee","11812","1522","15","9","144","139","300","645","470","758","1260","2184","1980","1862","624","611","452","310","130","1128","1227","336","2744","6077","3288","1055","441","12495","756","2472","2385","2269","1949","556","1724","220","207","438","364","301","47","131","47131","2010"
"Overton County, Tennessee","7514","944","21","0","31","38","339","517","457","373","993","1468","2007","1059","236","238","119","79","48","574","380","89","1431","3744","2147","988","488","7905","259","778","1267","876","1252","354","1672","286","304","664","441","395","47","133","47133","2010"
"Perry County, Tennessee","2203","397","46","0","42","0","66","278","159","342","408","315","312","268","116","49","88","12","3","178","160","50","406","1076","576","271","375","2370","130","477","350","353","310","98","356","113","5","170","187","139","47","135","47135","2010"
"Pickett County, Tennessee","1948","228","0","0","61","11","39","61","96","104","489","239","761","132","86","17","36","27","18","78","104","58","439","999","467","210","114","2050","83","280","349","206","236","30","260","73","35","454","165","77","47","137","47137","2010"
"Polk County, Tennessee","4857","932","5","0","91","28","366","447","331","452","614","632","641","593","491","142","236","59","47","693","535","117","652","2037","1599","1103","771","5280","199","553","338","527","1089","443","1192","97","213","689","334","239","47","139","47139","2010"
"Putnam County, Tennessee","25185","2618","21","41","431","231","806","1205","873","1446","2670","3200","5588","4552","2125","837","1261","427","309","2294","1740","358","4902","13216","7249","2532","832","26380","1128","3534","5939","5244","5017","999","3523","541","223","958","826","595","47","141","47141","2010"
"Rhea County, Tennessee","9582","1493","0","0","186","59","561","1133","646","743","1652","920","1270","1421","780","400","430","242","99","797","787","207","1916","4532","2939","1587","591","10255","644","1497","1982","1748","1252","488","944","259","244","1124","877","261","47","143","47143","2010"
"Roane County, Tennessee","18501","2497","55","42","217","235","630","1134","880","1599","2230","2657","2748","2981","1816","750","734","428","228","1646","1716","160","3379","8986","6336","2278","1024","19660","554","1764","2812","3377","3012","1527","3303","912","712","2444","741","389","47","145","47145","2010"
"Robertson County, Tennessee","24235","3396","27","0","166","292","1494","1816","1365","1982","4049","3997","4155","3281","1551","923","1113","297","132","1839","1616","550","3729","12576","7472","3620","1663","25800","883","2468","3503","3105","3071","1664","3831","1007","1696","4522","1829","537","47","147","47147","2010"
"Rutherford County, Tennessee","104360","11545","484","241","1532","913","3388","4706","4480","7071","14727","16701","19678","12216","8267","3266","5042","2454","1045","9426","9996","1186","19894","55932","28024","11892","4518","109540","2670","10916","15721","19508","16031","7121","16174","3851","5280","14161","5964","1678","47","149","47149","2010"
"Scott County, Tennessee","6486","1115","46","0","37","102","96","550","348","689","678","869","1158","1423","505","161","311","116","4","591","383","102","1131","2703","2497","888","515","6965","429","1080","1267","1254","1176","171","795","29","78","416","749","342","47","151","47151","2010"
"Sequatchie County, Tennessee","4207","581","0","0","116","53","153","424","266","386","561","475","715","328","408","216","131","51","156","537","303","25","962","1564","1857","426","276","4470","118","639","702","434","399","214","573","132","242","1092","382","30","47","153","47153","2010"
"Sevier County, Tennessee","33020","6369","239","76","708","294","1327","1466","1157","1524","2837","3994","6232","5336","4892","2581","3058","1663","655","2931","2380","803","6967","18352","10724","3723","1440","35965","1316","3398","4580","6165","7212","3242","6934","1729","1225","2905","1403","597","47","155","47155","2010"
