State,Trade_Type,Domestic_Mode,Unit,Year,Units_Within,Units_In,Units_Out
Florida,Import,Other and unknown,million ton-miles,2012,32.482551,12.076213,45.171503
Florida,Import,Pipeline,million ton-miles,2012,29.083,20.14173,0
Florida,Import,Rail,million ton-miles,2012,39.063658,4687.750373,1130.295548
Florida,Import,Truck,million ton-miles,2012,1334.190526,4391.377888,1172.134799
Florida,Import,Water,million ton-miles,2012,945.397475,3420.814902,520.614253
Georgia,Domestic Only,Air (include truck-air),million ton-miles,2012,0.04798,36.662676,54.010837
Georgia,Domestic Only,Multiple modes & mail,million ton-miles,2012,98.52989,4769.001623,4120.55724
Georgia,Domestic Only,Pipeline,million ton-miles,2012,36.4083,9797.015657,3188.432839
Georgia,Domestic Only,Rail,million ton-miles,2012,567.9958,42382.3408,11436.87093
Georgia,Domestic Only,Truck,million ton-miles,2012,10962.15341,41222.84396,39955.54506
Georgia,Domestic Only,Water,million ton-miles,2012,53.3239,1202.0533,0
Georgia,Export,Air (include truck-air),million ton-miles,2012,0.001898,58.731057,43.086175
Georgia,Export,Multiple modes & mail,million ton-miles,2012,304.941252,871.599678,787.502558
Georgia,Export,Other and unknown,million ton-miles,2012,9.029034,6.268771,11.880924
Georgia,Export,Pipeline,million ton-miles,2012,3.5554,0,0
Georgia,Export,Rail,million ton-miles,2012,64.793428,827.964601,1591.472367
Georgia,Export,Truck,million ton-miles,2012,750.545618,2204.058702,3061.99568
Georgia,Export,Water,million ton-miles,2012,14.540862,108.529712,21.272678
Georgia,Import,Air (include truck-air),million ton-miles,2012,0.306098,30.357098,62.025528
Georgia,Import,Multiple modes & mail,million ton-miles,2012,343.345923,3466.739916,1861.912254
Georgia,Import,Other and unknown,million ton-miles,2012,18.426621,13.149153,64.600215
Georgia,Import,Pipeline,million ton-miles,2012,1.1948,0.052498,561.38843
Georgia,Import,Rail,million ton-miles,2012,42.364403,1553.815831,938.249154
Georgia,Import,Truck,million ton-miles,2012,1336.238858,3949.524051,1534.700282
Georgia,Import,Water,million ton-miles,2012,38.913263,1019.902725,131.168807
Hawaii,Domestic Only,Air (include truck-air),million ton-miles,2012,5.441727,322.867881,100.118552
Hawaii,Domestic Only,Multiple modes & mail,million ton-miles,2012,69.135641,4100.69369,2536.675818
Hawaii,Domestic Only,Pipeline,million ton-miles,2012,213.0751,0,0
Hawaii,Domestic Only,Truck,million ton-miles,2012,677.696869,0,0
Hawaii,Domestic Only,Water,million ton-miles,2012,78.068622,6193.6916,0
Hawaii,Export,Air (include truck-air),million ton-miles,2012,0.086865,80.950303,4.638952
Hawaii,Export,Multiple modes & mail,million ton-miles,2012,23.767196,9.8945,75.06831
Hawaii,Export,Other and unknown,million ton-miles,2012,0.0252,786.7778,0
Hawaii,Export,Pipeline,million ton-miles,2012,1.278766,0,0
Hawaii,Export,Truck,million ton-miles,2012,5.752492,0,0
Hawaii,Export,Water,million ton-miles,2012,6.30099,10.779402,0.138348
Hawaii,Import,Air (include truck-air),million ton-miles,2012,0.005105,5.799825,1.286005
Hawaii,Import,Multiple modes & mail,million ton-miles,2012,2.720108,84.379656,90.922858
Hawaii,Import,No domestic mode,million ton-miles,2012,0,0,0
Hawaii,Import,Other and unknown,million ton-miles,2012,0.224755,40.3887,0
Hawaii,Import,Pipeline,million ton-miles,2012,2.727433,0,0
Hawaii,Import,Truck,million ton-miles,2012,22.286195,0,0
Hawaii,Import,Water,million ton-miles,2012,101.886935,0.000044,0.597106
