"Name","Total","No_Schooling_Completed","Nursery_School","Kindergarten","1st_Grade","2nd_Grade","3rd_Grade","4th_Grade","5th_Grade","6th_Grade","7th_Grade","8th_Grade","9th_Grade","10th_Grade","11th_Grade","12th_Grade_No_Diploma","Regular_High_School_Diploma","GED_or_alternative_credential","Some_College_less_than_1_year","Some_College_1_year_or_more","Associates_Degree","Bachelors_Degree","Masters_Degree","Professional_School_Degree","Doctorate_Degree","STATEFP","COUNTYFP","STATE_FIPS","Year","No_Highschool_Diploma","Some_College"
"Sumner County, Tennessee","129174","1246","66","14","114","0","124","127","394","434","497","1695","1335","2407","1924","2143","32517","6638","10760","18478","11310","25503","8708","1661","1079","47","165","47165","2020","12520","29238"
"Trousdale County, Tennessee","7791","113","0","0","0","0","0","19","17","62","30","106","74","282","257","208","2553","866","672","1123","506","605","270","15","13","47","169","47169","2020","1168","1795"
"Unicoi County, Tennessee","13506","79","0","0","6","0","17","18","14","57","115","424","237","418","329","235","3835","1229","1034","2158","1083","1538","494","97","89","47","171","47171","2020","1949","3192"
"Van Buren County, Tennessee","4294","41","0","8","0","7","11","0","9","84","22","272","67","129","115","141","1524","453","224","474","344","183","98","37","51","47","175","47175","2020","906","698"
"Warren County, Tennessee","28092","362","1","0","9","35","65","36","173","279","249","685","732","828","849","771","10158","2416","1684","3239","1684","2501","981","134","221","47","177","47177","2020","5074","4923"
"Wayne County, Tennessee","12552","57","0","0","0","17","32","11","0","155","93","444","333","469","547","224","4309","1366","921","1507","737","802","370","51","107","47","181","47181","2020","2382","2428"
"Weakley County, Tennessee","21552","164","0","21","0","7","14","29","87","62","158","451","386","613","460","286","7257","2250","1423","2457","1148","2501","1294","170","314","47","183","47183","2020","2738","3880"
"Williamson County, Tennessee","151799","1001","0","26","0","0","118","1","218","557","92","641","684","1180","726","2010","17010","2760","7496","15653","9846","57841","23814","6192","3933","47","187","47187","2020","7254","23149"
"Wilson County, Tennessee","96648","458","0","0","23","0","23","58","139","403","169","1353","1164","1311","1496","1106","22258","4926","7315","13372","7483","22634","8724","1236","997","47","189","47189","2020","7703","20687"
"Bedford County, Tennessee","32547","171","0","0","41","77","72","102","80","219","301","828","937","915","1084","546","11018","2234","2697","3758","1562","3947","1380","383","195","47","003","47003","2020","5373","6455"
"Blount County, Tennessee","94763","720","13","0","81","8","106","56","227","595","241","1389","1276","1828","1900","1584","28183","5330","7257","13209","7432","14728","5814","1736","1050","47","009","47009","2020","10024","20466"
"Cannon County, Tennessee","10293","138","3","0","2","0","6","0","25","128","105","210","131","291","358","244","4198","518","491","1263","501","1078","420","57","126","47","015","47015","2020","1641","1754"
"Cheatham County, Tennessee","28562","380","7","0","24","0","51","32","46","79","147","556","538","760","890","327","9111","1972","2019","3822","1947","3913","1481","240","220","47","021","47021","2020","3837","5841"
"Clay County, Tennessee","5557","74","0","0","0","19","9","0","37","14","121","330","120","127","200","19","2258","404","255","528","320","488","147","87","0","47","027","47027","2020","1070","783"
"Crockett County, Tennessee","9829","87","0","0","0","23","2","42","33","60","62","270","229","219","437","127","3295","724","713","1372","641","964","417","66","46","47","033","47033","2020","1591","2085"
"Decatur County, Tennessee","8466","78","0","0","0","0","8","4","7","121","26","218","253","275","240","65","3143","516","608","956","736","934","210","39","29","47","039","47039","2020","1295","1564"
"Jackson County, Tennessee","8794","64","0","0","0","10","10","7","34","25","108","499","193","180","400","186","3330","744","714","796","470","775","139","58","52","47","087","47087","2020","1716","1510"
"Knox County, Tennessee","312749","2350","51","0","220","67","282","170","396","1200","933","2950","2662","4668","5056","4319","65276","11964","18380","43255","27242","73405","31739","9120","7044","47","093","47093","2020","25324","61635"
"Lawrence County, Tennessee","29516","440","3","0","0","6","2","27","48","69","282","1342","639","532","787","459","10163","2820","2047","3655","2103","2373","1312","246","161","47","099","47099","2020","4636","5702"
"Loudon County, Tennessee","39118","417","7","0","4","0","75","25","239","228","85","831","539","753","1369","520","9960","1996","2268","6082","3057","7003","2748","449","463","47","105","47105","2020","5092","8350"
"Macon County, Tennessee","16141","211","0","0","0","24","40","24","20","179","227","688","260","388","486","428","5554","2305","1125","1510","1219","863","372","203","15","47","111","47111","2020","2975","2635"
"Marshall County, Tennessee","23303","227","0","0","15","0","4","0","3","31","142","493","503","713","518","316","7930","1392","1848","3287","2098","2541","643","514","85","47","117","47117","2020","2965","5135"
"Monroe County, Tennessee","33139","296","0","0","16","0","109","72","204","262","403","977","712","749","865","424","10036","3255","2578","4519","2580","3409","1036","361","276","47","123","47123","2020","5089","7097"
