"Name","Male_Unemployed_16_T_19","Female_Unemployed_16_T_19","Male_Unemployed_20_T_21","Female_Unemployed_20_T_21","Male_Unemployed_22_T_24","Female_Unemployed_22_T_24","Male_Unemployed_25_T_29","Female_Unemployed_25_T_29","Male_Unemployed_30_T_34","Female_Unemployed_30_T_34","Male_Unemployed_35_T_44","Female_Unemployed_35_T_44","Male_Unemployed_45_T_54","Female_Unemployed_45_T_54","Male_Unemployed_55_T_59","Female_Unemployed_55_T_59","Male_Unemployed_60_T_61","Female_Unemployed_60_T_61","Male_Unemployed_62_T_64","Female_Unemployed_62_T_64","Male_Unemployed_65_T_69","Female_Unemployed_65_T_69","Male_Unemployed_70_T_74","Female_Unemployed_70_T_74","Male_Unemployed_75_or_more","Female_Unemployed_75_or_more","STATEFP","COUNTYFP","STATE_FIPS","Unemployed_16_T_19","Unemployed_20_T_21","Unemployed_22_T_24","Unemployed_25_T_29","Unemployed_30_T_34","Unemployed_35_T_44","Unemployed_45_T_54","Unemployed_55_T_59","Unemployed_60_T_61","Unemployed_62_T_64","Unemployed_65_T_69","Unemployed_70_T_74","Unemployed_75_or_more","Year"
"Robertson County, Tennessee","163","82","112","38","214","18","52","113","99","76","149","275","291","289","111","101","27","4","51","26","7","12","0","0","0","0","47","147","47147","245","150","232","165","175","424","580","212","31","77","19","0","0","2010"
"Rutherford County, Tennessee","904","737","816","531","681","565","582","749","477","662","612","984","725","837","216","243","87","128","88","36","5","81","36","0","9","0","47","149","47149","1641","1347","1246","1331","1139","1596","1562","459","215","124","86","36","9","2010"
"Scott County, Tennessee","42","4","43","18","94","14","186","113","80","54","165","99","98","72","0","17","20","0","51","8","0","0","0","0","0","0","47","151","47151","46","61","108","299","134","264","170","17","20","59","0","0","0","2010"
"Sequatchie County, Tennessee","0","72","17","33","0","22","0","0","0","35","0","59","208","62","23","35","24","0","0","10","0","20","0","0","0","0","47","153","47153","72","50","22","0","35","59","270","58","24","10","20","0","0","2010"
"Sevier County, Tennessee","298","269","88","65","164","141","207","159","69","112","271","282","350","225","113","191","117","16","0","30","125","11","83","4","11","15","47","155","47155","567","153","305","366","181","553","575","304","133","30","136","87","26","2010"
"Shelby County, Tennessee","3902","3193","2320","2061","2982","2651","2921","3385","2444","2515","3975","4346","4164","3536","897","925","306","308","362","313","286","206","177","50","104","77","47","157","47157","7095","4381","5633","6306","4959","8321","7700","1822","614","675","492","227","181","2010"
"Smith County, Tennessee","39","58","81","0","43","30","45","21","20","36","95","90","68","49","37","20","0","0","0","8","0","0","0","0","0","0","47","159","47159","97","81","73","66","56","185","117","57","0","8","0","0","0","2010"
"Stewart County, Tennessee","71","3","30","35","11","0","14","27","46","57","110","75","49","78","0","43","0","0","10","10","0","0","0","0","0","0","47","161","47161","74","65","11","41","103","185","127","43","0","20","0","0","0","2010"
"Sullivan County, Tennessee","540","312","222","214","282","234","254","380","385","320","492","440","591","330","187","94","38","62","78","115","55","30","49","0","9","0","47","163","47163","852","436","516","634","705","932","921","281","100","193","85","49","9","2010"
"Sumner County, Tennessee","537","322","223","143","188","283","380","440","366","365","492","716","478","540","375","115","104","27","75","33","13","24","31","64","12","0","47","165","47165","859","366","471","820","731","1208","1018","490","131","108","37","95","12","2010"
