State,Commodity,Unit,Year,Units_Within,Units_In,Units_Out
Montana,Wood prods.,million ton-miles,2012,120.6183,830.750772,1142.7561
Nebraska,Animal feed,million ton-miles,2012,2090.120521,22648.89906,31942.6303
Nebraska,Cereal grains,million ton-miles,2012,1997.6643,12327.9572,20005.89925
Nebraska,Gravel,million ton-miles,2012,372.6668,6229.9883,11746.92342
Nebraska,Milled grain prods.,million ton-miles,2012,353.252412,2307.1439,5421.599
Nebraska,Live animals/fish,million ton-miles,2012,305.0345,2233.0422,3838.37395
Nebraska,Other ag prods.,million ton-miles,2012,255.388392,2010.9203,3513.4763
Nebraska,Other foodstuffs,million ton-miles,2012,216.604942,1751.053072,3500.516845
Nebraska,Nonmetal min. prods.,million ton-miles,2012,187.263504,1449.121618,2624.9355
Nebraska,Mixed freight,million ton-miles,2012,114.431746,1031.251864,1931.276254
Nebraska,Natural sands,million ton-miles,2012,76.0025,1011.04783,747.246547
Nevada,Gravel,million ton-miles,2012,442.10636,8850.218951,7847.663415
Nevada,Nonmetal min. prods.,million ton-miles,2012,338.925174,1932.789702,7113.177021
Nevada,Waste/scrap,million ton-miles,2012,172.48786,1295.010841,1267.250454
Nevada,Natural sands,million ton-miles,2012,122.3969,1255.543746,1229.076571
Nevada,Mixed freight,million ton-miles,2012,94.842659,1159.120237,1039.692999
Nevada,Other foodstuffs,million ton-miles,2012,91.557191,1045.041965,785.058272
Nevada,Animal feed,million ton-miles,2012,67.41707,982.48988,638.755554
Nevada,Coal-n.e.c.,million ton-miles,2012,62.596734,943.5109,418.241604
Nevada,Furniture,million ton-miles,2012,56.037079,784.8438,405.943427
Nevada,Misc. mfg. prods.,million ton-miles,2012,53.206414,671.636318,394.017538
New Hampshire,Gravel,million ton-miles,2012,121.2415,1715.6708,420.025237
New Hampshire,Natural sands,million ton-miles,2012,104.5838,707.4219,395.959247
New Hampshire,Fuel oils,million ton-miles,2012,95.75,515.987162,381.139752
