"Name","Male_in_Labor_Force_16_T_19","Female_in_Labor_Force_16_T_19","Male_in_Labor_Force_20_T_21","Female_in_Labor_Force_20_T_21","Male_in_Labor_Force_22_T_24","Female_in_Labor_Force_22_T_24","Male_in_Labor_Force_25_T_29","Female_in_Labor_Force_25_T_29","Male_in_Labor_Force_30_T_34","Female_in_Labor_Force_30_T_34","Male_in_Labor_Force_35_T_44","Female_in_Labor_Force_35_T_44","Male_in_Labor_Force_45_T_54","Female_in_Labor_Force_45_T_54","Male_in_Labor_Force_55_T_59","Female_in_Labor_Force_55_T_59","Male_in_Labor_Force_60_T_61","Female_in_Labor_Force_60_T_61","Male_in_Labor_Force_62_T_64","Female_in_Labor_Force_62_T_64","Male_in_Labor_Force_65_T_69","Female_in_Labor_Force_65_T_69","Male_in_Labor_Force_70_T_74","Female_in_Labor_Force_70_T_74","Male_in_Labor_Force_75_or_more","Female_in_Labor_Force_75_or_more","STATEFP","COUNTYFP","STATE_FIPS","In_Labor_Force_16_T_19","In_Labor_Force_20_T_21","In_Labor_Force_22_T_24","In_Labor_Force_25_T_29","In_Labor_Force_30_T_34","In_Labor_Force_35_T_44","In_Labor_Force_45_T_54","In_Labor_Force_55_T_59","In_Labor_Force_60_T_61","In_Labor_Force_62_T_64","In_Labor_Force_65_T_69","In_Labor_Force_70_T_74","In_Labor_Force_75_or_more","Year"
"Crockett County, Tennessee","219","210","130","149","165","207","335","396","412","359","748","602","856","755","266","200","120","100","122","248","141","105","19","70","43","21","47","033","47033","429","279","372","731","771","1350","1611","466","220","370","246","89","64","2010"
"Cumberland County, Tennessee","468","743","556","405","466","457","1013","915","982","966","2790","2418","2908","2694","860","1212","519","449","422","331","415","401","306","175","95","59","47","035","47035","1211","961","923","1928","1948","5208","5602","2072","968","753","816","481","154","2010"
"Davidson County, Tennessee","6077","6084","6608","6246","12089","13978","26120","23901","22894","19214","38895","33650","34721","33816","13238","13687","4101","3421","4123","3725","3348","3109","1759","1557","1185","1139","47","037","47037","12161","12854","26067","50021","42108","72545","68537","26925","7522","7848","6457","3316","2324","2010"
"Decatur County, Tennessee","111","193","104","71","212","144","189","259","327","214","638","590","632","523","394","222","36","80","138","23","52","89","11","26","39","56","47","039","47039","304","175","356","448","541","1228","1155","616","116","161","141","37","95","2010"
"DeKalb County, Tennessee","115","160","110","66","184","189","352","394","574","375","1131","850","1044","1081","459","305","181","121","163","116","98","183","10","40","53","19","47","041","47041","275","176","373","746","949","1981","2125","764","302","279","281","50","72","2010"
"Dickson County, Tennessee","736","533","499","309","762","547","1266","1126","1448","1183","3114","2715","3229","2667","1051","1156","283","235","537","362","206","163","210","117","98","58","47","043","47043","1269","808","1309","2392","2631","5829","5896","2207","518","899","369","327","156","2010"
"Dyer County, Tennessee","367","488","145","233","416","491","914","997","843","857","2217","2082","2321","1830","905","614","273","204","223","252","233","309","176","164","53","39","47","045","47045","855","378","907","1911","1700","4299","4151","1519","477","475","542","340","92","2010"
"Fayette County, Tennessee","486","321","350","340","329","380","921","997","926","840","2243","1839","2389","2153","936","1136","386","213","455","329","253","189","124","67","48","9","47","047","47047","807","690","709","1918","1766","4082","4542","2072","599","784","442","191","57","2010"
"Fentress County, Tennessee","132","144","205","91","165","103","339","340","402","244","979","837","962","816","361","401","138","146","117","123","131","60","51","15","41","28","47","049","47049","276","296","268","679","646","1816","1778","762","284","240","191","66","69","2010"
"Franklin County, Tennessee","363","442","571","506","478","451","1059","706","965","911","2428","1779","2403","2113","1010","810","439","272","368","324","275","244","191","120","80","62","47","051","47051","805","1077","929","1765","1876","4207","4516","1820","711","692","519","311","142","2010"
"Gibson County, Tennessee","628","405","452","342","655","570","1134","1049","1251","1186","2624","2552","2911","2660","1058","1001","345","473","224","403","324","260","127","83","58","121","47","053","47053","1033","794","1225","2183","2437","5176","5571","2059","818","627","584","210","179","2010"
"Giles County, Tennessee","387","349","233","340","294","306","707","673","742","675","1521","1316","1783","1560","718","499","221","276","175","172","272","196","130","31","32","39","47","055","47055","736","573","600","1380","1417","2837","3343","1217","497","347","468","161","71","2010"
"Grainger County, Tennessee","381","374","369","196","148","230","582","354","642","541","1286","1126","1251","1177","426","357","290","148","54","92","190","49","77","30","19","42","47","057","47057","755","565","378","936","1183","2412","2428","783","438","146","239","107","61","2010"
"Greene County, Tennessee","790","838","655","438","865","706","1883","1411","1535","1440","4010","3411","3756","3669","1522","1427","482","450","391","385","566","379","203","35","169","79","47","059","47059","1628","1093","1571","3294","2975","7421","7425","2949","932","776","945","238","248","2010"
