"Name","Male_LT_5","Female_LT_5","Male_5_T_9","Female_5_T_9","Male_10_T_14","Female_10_T_14","Male_15_T_17","Female_15_T_17","Male_18_T_19","Female_18_T_19","Male_20","Female_20","Male_21","Female_21","Male_22_T_24","Female_22_T_24","Male_25_T_29","Female_25_T_29","Male_30_T_34","Female_30_T_34","Male_35_T_39","Female_35_T_39","Male_40_T_44","Female_40_T_44","Male_45_T_49","Female_45_T_49","Male_50_T_54","Female_50_T_54","Male_55_T_59","Female_55_T_59","Male_60_T_61","Female_60_T_61","Male_62_T_64","Female_62_T_64","Male_65_T_66","Female_65_T_66","Male_67_T_69","Female_67_T_69","Male_70_T_74","Female_70_T_74","Male_75_T_79","Female_75_T_79","Male_80_T_84","Female_80_T_84","Male_GE_85","Female_GE_85","STATEFP","COUNTYFP","STATE_FIPS","Year"
"Hawkins County, Tennessee","1406","1318","1323","1486","1947","1520","1108","1147","621","596","363","184","344","335","833","989","1751","1707","1462","1421","1262","1417","1923","1776","1940","2078","2163","2154","1973","2357","715","731","1259","1267","745","870","1162","1156","1398","1796","962","1259","714","649","384","764","47","073","47073","2020"
"Haywood County, Tennessee","529","488","662","420","443","665","368","341","269","157","68","70","81","88","272","349","468","514","447","569","420","504","547","570","428","571","599","618","511","604","302","270","431","525","201","211","443","433","242","411","286","277","52","283","136","248","47","075","47075","2020"
"Henderson County, Tennessee","806","670","1274","745","809","949","611","495","336","251","173","263","187","115","345","419","758","960","704","828","1178","866","601","870","880","917","1002","940","885","1130","312","308","744","531","340","288","424","554","590","778","421","625","314","355","122","283","47","077","47077","2020"
"Henry County, Tennessee","779","904","1125","785","714","1172","572","572","338","348","158","249","198","159","451","400","909","832","752","833","873","915","898","863","921","1011","1058","1157","1182","1325","566","482","567","746","355","691","620","710","1003","894","596","712","467","633","267","489","47","079","47079","2020"
"Hickman County, Tennessee","685","676","620","600","862","783","586","434","311","246","312","147","87","71","483","430","1017","700","823","688","929","713","880","681","869","819","948","842","1115","798","243","334","514","517","267","297","540","383","406","688","267","392","246","349","196","223","47","081","47081","2020"
"Houston County, Tennessee","216","192","347","295","234","190","213","94","204","82","45","51","19","68","53","91","244","262","219","219","186","164","267","289","260","292","256","275","311","295","175","113","106","182","73","89","169","176","237","240","164","192","54","153","67","78","47","083","47083","2020"
"Humphreys County, Tennessee","538","424","565","494","663","659","353","308","193","295","74","77","130","69","373","283","595","527","470","486","573","726","502","414","564","595","612","686","685","812","271","179","333","407","198","417","284","275","502","394","398","509","177","211","60","168","47","085","47085","2020"
"Jefferson County, Tennessee","1189","1360","1497","1586","1584","1352","1008","1019","855","693","389","345","281","475","980","858","1664","1525","1451","1365","1521","1524","1453","1607","1777","1838","1926","2028","2348","1893","638","802","1083","1477","618","560","922","1614","1511","1154","932","1004","576","765","434","681","47","089","47089","2020"
"Johnson County, Tennessee","393","360","393","365","499","478","263","255","187","134","146","27","88","68","333","250","597","386","725","443","567","395","717","490","788","525","707","559","652","752","247","266","351","305","276","207","350","527","517","496","343","473","216","275","186","178","47","091","47091","2020"
"Lake County, Tennessee","157","192","126","144","97","81","151","96","58","27","61","17","108","16","252","60","622","213","311","120","590","108","327","143","506","181","264","192","251","240","172","84","128","59","77","62","98","117","150","123","105","132","30","106","26","93","47","095","47095","2020"
"Lauderdale County, Tennessee","760","716","677","1015","970","625","582","498","286","258","259","79","247","142","472","461","1126","776","932","689","798","885","1018","754","803","779","915","815","864","1036","268","311","438","409","288","305","334","342","480","691","342","384","222","314","79","245","47","097","47097","2020"
"Lewis County, Tennessee","312","344","299","367","488","322","253","209","283","40","38","147","31","65","194","174","349","348","340","338","283","512","435","196","349","394","363","371","339","382","262","163","242","344","128","170","367","169","225","487","177","219","96","311","133","73","47","101","47101","2020"
"Lincoln County, Tennessee","1102","835","899","764","1283","1395","754","593","461","287","214","113","141","168","603","565","956","1043","816","900","1111","937","958","1065","980","1110","1186","1203","1271","1324","553","561","774","714","549","437","652","532","511","1033","554","674","436","477","148","516","47","103","47103","2020"
"McMinn County, Tennessee","1472","1445","1659","1492","1502","1589","1012","1070","609","691","275","237","413","343","820","900","1644","1657","1603","1426","1269","1587","1664","1772","1881","1785","1705","1753","1617","2128","918","634","1054","1182","980","771","698","1047","1245","1394","851","1251","649","616","349","733","47","107","47107","2020"
"McNairy County, Tennessee","730","680","778","906","802","628","525","547","307","211","98","117","156","138","438","449","811","864","649","578","726","810","728","681","871","839","852","935","819","995","346","302","547","535","315","433","375","470","795","769","538","593","221","384","150","373","47","109","47109","2020"
"Madison County, Tennessee","3119","2936","2774","2751","3355","3238","1888","1876","1562","1799","819","867","644","874","1841","1966","3126","3319","2690","2981","3045","3040","2343","2824","2747","3139","2975","3309","3058","3696","1453","1598","1655","2017","1120","1312","1628","1842","1767","2135","1136","1795","924","1169","579","1107","47","113","47113","2020"
"Marion County, Tennessee","843","798","913","657","810","921","529","540","283","284","65","140","136","143","631","464","894","862","780","775","840","781","812","911","915","930","1022","1017","1111","1196","353","387","578","764","433","408","410","333","747","1024","408","489","286","471","233","312","47","115","47115","2020"
"Maury County, Tennessee","3200","3019","2504","2736","3692","3292","1948","1619","1000","1017","623","382","347","474","1484","1621","3259","3326","3103","3337","2879","3205","3273","3112","2854","3034","2871","3073","2827","3715","1599","1382","1574","1900","1065","1062","1324","1491","1962","2619","1030","1298","891","956","391","1245","47","119","47119","2020"
"Anderson County, Tennessee","2377","1922","2182","1850","2527","2627","1590","1454","858","898","259","497","428","253","1358","1245","2027","1960","2064","2054","2298","2616","2434","2509","2698","2891","2862","2953","2660","2885","990","946","1205","1343","667","803","909","905","1321","1630","991","1434","800","1124","565","1388","47","001","47001","2010"
"Bedford County, Tennessee","1628","1769","1840","1840","1494","1347","1027","963","484","525","329","354","224","259","764","629","1553","1539","1551","1444","1529","1414","1677","1657","1571","1656","1365","1279","1443","1413","430","559","514","601","443","370","352","472","688","742","432","504","327","325","169","677","47","003","47003","2010"
"Benton County, Tennessee","446","388","583","454","376","447","319","330","219","148","70","48","110","38","226","241","398","407","412","453","507","584","582","429","637","661","549","641","702","715","276","260","278","332","240","208","258","316","416","425","210","372","170","208","116","251","47","005","47005","2010"
"Bledsoe County, Tennessee","308","301","304","348","470","415","306","274","164","114","89","88","69","53","156","116","571","310","515","317","370","424","763","401","544","467","526","433","532","340","225","215","236","272","154","125","216","243","246","184","90","242","138","116","60","96","47","007","47007","2010"
