State,Trade_Type,Domestic_Mode,Unit,Year,Units_Within,Units_In,Units_Out
Louisiana,Export,Pipeline,thousand tons,2012,9207.345216,0,1901.918992
Louisiana,Export,Rail,thousand tons,2012,655.989228,11198.76405,2163.179418
Louisiana,Export,Truck,thousand tons,2012,72355.0067,3376.390539,1862.578302
Louisiana,Export,Water,thousand tons,2012,19347.27701,1053.595668,513.113482
Louisiana,Import,Air (include truck-air),thousand tons,2012,0.109372,8.251972,0.363407
Louisiana,Import,Multiple modes & mail,thousand tons,2012,566.555116,183.072027,1422.690737
Louisiana,Import,No domestic mode,thousand tons,2012,42238.5591,0,0
Louisiana,Import,Other and unknown,thousand tons,2012,70.472,2.3179,348.7325
Louisiana,Import,Pipeline,thousand tons,2012,38532.77648,6679.4595,4103.9393
Louisiana,Import,Rail,thousand tons,2012,452.140263,4580.345303,7608.500382
Louisiana,Import,Truck,thousand tons,2012,14887.40174,345.430706,6449.877236
Louisiana,Import,Water,thousand tons,2012,11080.35173,65.10615,4519.559445
Maine,Domestic Only,Air (include truck-air),thousand tons,2012,0,15.632801,2.269502
Maine,Domestic Only,Multiple modes & mail,thousand tons,2012,111.5617,376.74433,586.705133
Maine,Domestic Only,Pipeline,thousand tons,2012,383.0186,855.9214,837.4796
Maine,Domestic Only,Rail,thousand tons,2012,330,871.1536,916.5549
Maine,Domestic Only,Truck,thousand tons,2012,48578.88858,8593.342983,15044.25019
Maine,Domestic Only,Water,thousand tons,2012,6.83,0,0
Maine,Export,Air (include truck-air),thousand tons,2012,0,1.581162,8.689314
