State,Commodity,Field,Value,Unit,Year
Delaware,Fertilizers,tmiles_in,276.297674,million ton-miles,2012
Delaware,Other ag prods.,tmiles_within,30.154068,million ton-miles,2012
Delaware,Other ag prods.,tmiles_out,159.393855,million ton-miles,2012
Delaware,Other ag prods.,tmiles_in,236.731083,million ton-miles,2012
Florida,Natural sands,tmiles_within,9573.641135,million ton-miles,2012
Florida,Natural sands,tmiles_out,13407.48631,million ton-miles,2012
Florida,Natural sands,tmiles_in,13350.0851,million ton-miles,2012
Florida,Nonmetal min. prods.,tmiles_within,4650.69197,million ton-miles,2012
Florida,Nonmetal min. prods.,tmiles_out,7272.295869,million ton-miles,2012
Florida,Nonmetal min. prods.,tmiles_in,13312.4125,million ton-miles,2012
Florida,Gravel,tmiles_within,3878.418208,million ton-miles,2012
Florida,Gravel,tmiles_out,7268.910262,million ton-miles,2012
Florida,Gravel,tmiles_in,10905.3877,million ton-miles,2012
Florida,Gasoline,tmiles_within,3774.253321,million ton-miles,2012
Florida,Gasoline,tmiles_out,3355.761146,million ton-miles,2012
Florida,Gasoline,tmiles_in,8375.353102,million ton-miles,2012
Florida,Other ag prods.,tmiles_within,3063.402336,million ton-miles,2012
Florida,Other ag prods.,tmiles_out,2368.326832,million ton-miles,2012
Florida,Other ag prods.,tmiles_in,7228.0048,million ton-miles,2012
Florida,Mixed freight,tmiles_within,2166.151466,million ton-miles,2012
Florida,Mixed freight,tmiles_out,2338.959869,million ton-miles,2012
Florida,Mixed freight,tmiles_in,4300.674292,million ton-miles,2012
Florida,Other foodstuffs,tmiles_within,1992.63642,million ton-miles,2012
Florida,Other foodstuffs,tmiles_out,1527.139631,million ton-miles,2012
Florida,Other foodstuffs,tmiles_in,4277.018209,million ton-miles,2012
Florida,Nonmetallic minerals,tmiles_within,1695.340208,million ton-miles,2012
Florida,Nonmetallic minerals,tmiles_out,1494.536794,million ton-miles,2012
Florida,Nonmetallic minerals,tmiles_in,4106.504434,million ton-miles,2012
Florida,Wood prods.,tmiles_within,1367.415452,million ton-miles,2012
Florida,Wood prods.,tmiles_out,1389.494068,million ton-miles,2012
Florida,Wood prods.,tmiles_in,3518.011854,million ton-miles,2012
Florida,Fuel oils,tmiles_within,1226.437026,million ton-miles,2012
Florida,Fuel oils,tmiles_out,1373.538056,million ton-miles,2012
Florida,Fuel oils,tmiles_in,3247.891058,million ton-miles,2012
Georgia,Logs,tmiles_within,2239.237951,million ton-miles,2012
Georgia,Logs,tmiles_out,5156.866612,million ton-miles,2012
Georgia,Logs,tmiles_in,24184.79437,million ton-miles,2012
Georgia,Gravel,tmiles_within,1484.865936,million ton-miles,2012
Georgia,Gravel,tmiles_out,4847.811697,million ton-miles,2012
Georgia,Gravel,tmiles_in,10670.06714,million ton-miles,2012
Georgia,Other ag prods.,tmiles_within,1087.092249,million ton-miles,2012
Georgia,Other ag prods.,tmiles_out,4754.038005,million ton-miles,2012
Georgia,Other ag prods.,tmiles_in,8627.79985,million ton-miles,2012
Georgia,Gasoline,tmiles_within,1013.540636,million ton-miles,2012
Georgia,Gasoline,tmiles_out,4418.452556,million ton-miles,2012
Georgia,Gasoline,tmiles_in,5800.3374,million ton-miles,2012
Georgia,Textiles/leather,tmiles_within,620.534876,million ton-miles,2012
Georgia,Textiles/leather,tmiles_out,4119.743612,million ton-miles,2012
Georgia,Textiles/leather,tmiles_in,5643.513017,million ton-miles,2012
Georgia,Wood prods.,tmiles_within,582.300543,million ton-miles,2012
Georgia,Wood prods.,tmiles_out,3433.427942,million ton-miles,2012
Georgia,Wood prods.,tmiles_in,5215.307777,million ton-miles,2012
Georgia,Waste/scrap,tmiles_within,580.311146,million ton-miles,2012
Georgia,Waste/scrap,tmiles_out,2939.287861,million ton-miles,2012
Georgia,Waste/scrap,tmiles_in,3637.090755,million ton-miles,2012
Georgia,Nonmetallic minerals,tmiles_within,564.095415,million ton-miles,2012
Georgia,Nonmetallic minerals,tmiles_out,2913.571102,million ton-miles,2012
Georgia,Nonmetallic minerals,tmiles_in,3579.531297,million ton-miles,2012
Georgia,Nonmetal min. prods.,tmiles_within,501.370355,million ton-miles,2012
Georgia,Nonmetal min. prods.,tmiles_out,2807.499189,million ton-miles,2012
Georgia,Nonmetal min. prods.,tmiles_in,3214.849305,million ton-miles,2012
Georgia,Mixed freight,tmiles_within,481.726052,million ton-miles,2012
Georgia,Mixed freight,tmiles_out,2781.910401,million ton-miles,2012
Georgia,Mixed freight,tmiles_in,2945.381078,million ton-miles,2012
Hawaii,Gravel,tmiles_within,271.914822,million ton-miles,2012
Hawaii,Gravel,tmiles_out,1954.8885,million ton-miles,2012
Hawaii,Gravel,tmiles_in,4792.0911,million ton-miles,2012
Hawaii,Gasoline,tmiles_within,187.132406,million ton-miles,2012
Hawaii,Gasoline,tmiles_out,116.802895,million ton-miles,2012
Hawaii,Gasoline,tmiles_in,821.7213,million ton-miles,2012
Hawaii,Fuel oils,tmiles_within,158.6363,million ton-miles,2012
Hawaii,Fuel oils,tmiles_out,115.893561,million ton-miles,2012
Hawaii,Fuel oils,tmiles_in,687.816871,million ton-miles,2012
Hawaii,Waste/scrap,tmiles_within,132.1559,million ton-miles,2012
Hawaii,Waste/scrap,tmiles_out,89.632493,million ton-miles,2012
Hawaii,Waste/scrap,tmiles_in,608.370124,million ton-miles,2012
Hawaii,Nonmetal min. prods.,tmiles_within,98.538237,million ton-miles,2012
Hawaii,Nonmetal min. prods.,tmiles_out,84.994903,million ton-miles,2012
Hawaii,Nonmetal min. prods.,tmiles_in,568.8215,million ton-miles,2012
Hawaii,Coal,tmiles_within,84.4174,million ton-miles,2012
Hawaii,Coal,tmiles_out,51.94507,million ton-miles,2012
Hawaii,Coal,tmiles_in,530.5959,million ton-miles,2012
Hawaii,Other foodstuffs,tmiles_within,53.553281,million ton-miles,2012
Hawaii,Other foodstuffs,tmiles_out,48.920401,million ton-miles,2012
Hawaii,Other foodstuffs,tmiles_in,395.9503,million ton-miles,2012
Hawaii,Fertilizers,tmiles_within,31.8026,million ton-miles,2012
Hawaii,Fertilizers,tmiles_out,46.503338,million ton-miles,2012
Hawaii,Fertilizers,tmiles_in,385.8697,million ton-miles,2012
Hawaii,Natural sands,tmiles_within,26.0664,million ton-miles,2012
Hawaii,Natural sands,tmiles_out,37.385803,million ton-miles,2012
Hawaii,Natural sands,tmiles_in,349.5509,million ton-miles,2012
Hawaii,Coal-n.e.c.,tmiles_within,25.987372,million ton-miles,2012
Hawaii,Coal-n.e.c.,tmiles_out,35.393691,million ton-miles,2012
Hawaii,Coal-n.e.c.,tmiles_in,332.4857,million ton-miles,2012
Idaho,Coal-n.e.c.,tmiles_within,2672.01698,million ton-miles,2012
Idaho,Coal-n.e.c.,tmiles_out,6597.387051,million ton-miles,2012
Idaho,Coal-n.e.c.,tmiles_in,2058.151529,million ton-miles,2012
Idaho,Logs,tmiles_within,1678.253806,million ton-miles,2012
Idaho,Logs,tmiles_out,5029.322668,million ton-miles,2012
Idaho,Logs,tmiles_in,1973.8396,million ton-miles,2012
Idaho,Other foodstuffs,tmiles_within,650.259824,million ton-miles,2012
Idaho,Other foodstuffs,tmiles_out,4888.593296,million ton-miles,2012
Idaho,Other foodstuffs,tmiles_in,1838.109503,million ton-miles,2012
Idaho,Animal feed,tmiles_within,506.3478,million ton-miles,2012
Idaho,Animal feed,tmiles_out,3616.3765,million ton-miles,2012
Idaho,Animal feed,tmiles_in,1417.762939,million ton-miles,2012
Idaho,Other ag prods.,tmiles_within,465.300673,million ton-miles,2012
Idaho,Other ag prods.,tmiles_out,2818.478175,million ton-miles,2012
Idaho,Other ag prods.,tmiles_in,1262.196374,million ton-miles,2012
Idaho,Wood prods.,tmiles_within,439.9428,million ton-miles,2012
Idaho,Wood prods.,tmiles_out,2764.76184,million ton-miles,2012
Idaho,Wood prods.,tmiles_in,977.091829,million ton-miles,2012
Idaho,Gasoline,tmiles_within,405.89,million ton-miles,2012
Idaho,Gasoline,tmiles_out,2699.974953,million ton-miles,2012
Idaho,Gasoline,tmiles_in,945.968245,million ton-miles,2012
Idaho,Cereal grains,tmiles_within,231.3042,million ton-miles,2012
Idaho,Cereal grains,tmiles_out,2519.0186,million ton-miles,2012
Idaho,Cereal grains,tmiles_in,929.328472,million ton-miles,2012
Idaho,Fertilizers,tmiles_within,200.6525,million ton-miles,2012
Idaho,Fertilizers,tmiles_out,1142.40001,million ton-miles,2012
Idaho,Fertilizers,tmiles_in,794.771819,million ton-miles,2012
Idaho,Natural sands,tmiles_within,154.088,million ton-miles,2012
Idaho,Natural sands,tmiles_out,1041.029751,million ton-miles,2012
Idaho,Natural sands,tmiles_in,785.3445,million ton-miles,2012
Illinois,Cereal grains,tmiles_within,3562.744964,million ton-miles,2012
Illinois,Cereal grains,tmiles_out,18173.55822,million ton-miles,2012
Illinois,Cereal grains,tmiles_in,64595.61335,million ton-miles,2012
